Company,Valuation,Category,Country,Funding,Investors
Wish,3000,E-commerce,United States of America,719,"Founders Fund, GGV Capital, Digital Sky Technologies"
Woowa Brothers,2600,E-commerce,South Korea,458,"Hillhouse Capital Management, Altos Ventures, Sequoia Capital"
Xiaohongshu,3000,E-commerce,China,418,"GGV Capital, ZhenFund, Tencent"
XiaoZhu,1000,E-commerce,China,500,"Morningside Ventures, Capital Today, JOY Capital"
XPeng Motors,3654,Auto Tech,China,1343,"Morningside Venture Capital, Foxconn Technology Company, Alibaba Group"
Yello Mobile,4000,Other,South Korea,216,Formation 8
YH Global,1000,Other,China,182,"Co-Energy Finance, Grandland"
Yidian Zixun,1000,Media,China,176,Phoenix New Media
Yijiupi,1100,E-commerce,China,367,"Source Code Capital, Meituan Dianping, Tencent Holdings"
YITU Technology,2365,Internet Software & Services,China,355,"Sequoia Capital China, Banyan Capital"
Yixia,1000,Social,China,775,"Sequoia Capital China, Sina Weibo, Kleiner Perkins Caufield & Byers, Redpoint Ventures"
Youxia Motors,3350,Auto Tech,China,1326,"China Environmental Protection Industry, China Fortune Ocean"
Yuanfudao,3000,Internet Software & Services,China,544,"Tencent Holdings, Warbug Pincus, IDG Capital"
Zenefits,2088,Fintech,United States of America,584,"SV Angel, Institutional Venture Partners, Venrock"
Zeta Global,1300,Internet Software & Services,United States of America,380,"GSO Capital Partners, Franklin Square"
Zhaogang,1000,E-commerce,China,361,"K2 Ventures, Matrix Partners China, IDG Capital"
Zhihu,2500,Internet Software & Services,China,502,"Tencent Holdings, Sinovation Ventures, Qiming Venture Partners"
ZipRecruiter,1000,Internet Software & Services,United States of America,219,"Basepoint Ventures,Industry Ventures, and Institutional Venture Partners"
ZocDoc,1769,Healthcare,United States of America,226,"Founders Fund, Khosla Ventures, Goldman Sachs"
Zomato,2000,Social,India,374,"Sequoia Capital, VY Capital"
Zoom Video Communications,1000,Internet Software & Services,United States of America,142,"Sequoia Capital, Qualcomm Ventures, Emergence Capital Partners"
Zoox,3200,Auto Tech,United States of America,790,"AID Partners, Draper Fisher Jurvetson"
Zume Pizza,2250,On-Demand,United States of America,446,"Softbank Group, AME Cloud Ventures, SignalFire"
