Company,Valuation,Category,Country,Funding,Investors
Dada-JD Daojia,1000,On-Demand,China,1150,"DST Global, Sequoia Capital China"
Darktrace,1650,Cybersecurity,United Kingdom,232,"Northview Ventures, dievini Hopp BioTech Holding & Co.m Baillie Gifford & Co."
Dataminr,1600,Data Analytics,United States of America,569,"Venrock, Institutional Venture Partners, Goldman Sachs"
Deezer,1160,Internet Software & Services,France,442,"China International Capital Corporation, Hunan TV & Broadcast Intermediary, Shanghai Media Group"
Deliveroo,2000,On-Demand,United Kingdom,958,"Accel Partners, General Catalyst, Index Ventures"
Desktop Metal,1000,Hardware,United States of America,277,"Australian Future Fund, GE Ventures, Data Collective"
Devoted Health,1800,Healthcare,United States of America,369,"Andreessen Horowitz, F-Prime Capital, Venrock"
Didi Chuxing,56000,On-Demand,China,18567,"Matrix Partners, Tiger Global Management, Softbank Corp.,"
Ding Xiang Yuan,1000,Healthcare,China,172,"Tencent Holdings, DCM Ventures"
Discord,2050,Social,United States of America,279,"Benchmark, Greylock Partners, Tencent Holdings"
DJI Innovations,10000,Hardware,China,105,"Accel Partners, Sequoia Capital"
Docker,1469,Internet Software & Services,United States of America,271,"Greylock Partners, Lightspeed Venture Partners, Lowercase Capital"
DoorDash,4000,On-Demand,United States of America,972,"Softbank Group, Sequoia Capital, Khosla Ventures"
Douyu,1507,Internet Software & Services,China,976,"CMB International Capital, Nanshan Capital, Tencent Holdings"
DT Dream,1000,Internet Software & Services,China,176,"Alibaba Group, China Everbright Investment Management, Yinxinggu Capital"
Easyhome,5780,Other,China,2085,"Alibaba Group, Boyu Capital, Borui Capital"
Epic Games,15000,Other,United States of America,1595,"Tencent Holdings, KKR, Smash Ventures"
ESR Cayman,2800,Other,Hong Kong,1338,"SK Group, GF Investments, China Minsheng Banking Corp."
Face++,1000,Internet Software & Services,China,608,"Ant Financial Services Group, Russia-China Investment Fund, Foxconn Technology Company"
Fanatics,4500,E-commerce,United States of America,1695,"SoftBank Group, Andreessen Horowitz, Temasek Holdings"
Fanli,1000,E-commerce,China,90,"QiMing Venture Partners, Steam boat Ventures"
FlashEx,1000,Internet Software & Services,China,214,"Prometheus Capital, Matrix Partners China, JD Capital Management"
Flexport,1000,Internet Software & Services,United States of America,302,"Bloomberg Beta, Founders Fund, First Round Capital"
Formlabs,1065,Hardware,United States of America,104,"Pitango Venture Capital, DFJ Growth Fund, Foundry Group"
Freshworks,1500,Internet Software & Services,United States of America,249,"Accel, Tiger Global Management, capitalG"
Gan & Lee Pharmaceuticals,1626,Healthcare,China,428,"Qiming Venture Partners, Goldman Sachs, Hillhouse Capital Management"
Geek+,1000,Internet Software & Services,China,234,"Volcanics Ventures, Vertex Ventures China, Warburg Pincus"
Gett,1400,On-Demand,Israel,693,"Volkswagen, Access Industries, Vostok New Ventures"
Ginkgo BioWorks,1300,Healthcare,United States of America,436,"Y Combinator, Data Collective, MassVentures"
GitLab,1100,Internet Software & Services,United States of America,166,"Google Ventures, ICONIQ Capital, Khosla Ventures"
Global Fashion Group,1100,E-commerce,Luxembourg,575,"Access Industries, Rocket Internet, Tengelmann Ventures"
Global Switch,11084,Hardware,United Kingdom,6255,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group"
GO-JEK,5000,On-Demand,Indonesia,2235,"Formation Group, Sequoia Capital India, Warburg Pincus"
GoodRx,2800,Healthcare,United States of America,1,"Silver Lake Partners, SV Angel, Upfront Ventures"
Grab,11000,On-Demand,Singapore,7040,"GGV Capital, Vertex Venture Holdings, Softbank Group"
GRAIL,2443,Healthcare,United States of America,1615,"Kleiner Perkins Caufield & Byers, Amazon, Merck & Co."
Graphcore,1700,Hardware,United Kingdom,310,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners"
Gusto,2000,Fintech,United States of America,316,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers"
HashiCorp,1900,Internet Software & Services,United States of America,174,"Redpoint Ventures, True Ventures, Mayfield Fund"
HeartFlow,1500,Healthcare,United States of America,477,"BlueCross BlueShield Venture Partners, US Venture Partners"
Hello TransTech,5000,Travel Tech,China,2082,"Ant Financial Services Group, GGV Capital"
Hike,1400,Social,India,261,"Foxconn, Tiger Global management, Tencent"
Houzz,3841,E-commerce,United States of America,614,"New Enterprise Associates, Sequoia Capital, Comcast Ventures"
Huike Group,1000,Internet Software & Services,China,63,"Fosun RZ Capital, Oceanwide Holdings, Shenzhen Qianhe Capital Management Co."
HuiMin,2000,On-Demand,China,295,"Zheshang Venture Capital, GP Capital, Western Capital Management"
HuJiang,1000,Internet Software & Services,China,177,"China Minsheng Investment, Baidu, Wanxin Media"
Human Longevity,1190,Healthcare,United States of America,300,"Celgene, GE Ventures, Draper Fisher Jurvetson"
iCarbonX,1000,Healthcare,China,199,"Tencent, Vcanbio"
iFood,1000,Data Analytics,Brazil,586,"Movile, Just Eat, Naspers"
Illumio,1002,Cybersecurity,United States of America,267,"Data Collective, Formation 8, General Catalyst Partners"
Improbable,2000,Other,United Kingdom,604,"Andreessen Horowitz, SoftBank Group, Temasek Holdings"
Indigo Agriculture,3500,Healthcare,United States of America,616,"Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co."
Infinidat,1600,Hardware,United States of America,325,"TPG Growth, Goldman Sachs"
Infor,10000,Internet Software & Services,United States of America,4133,"Blackstone Group, Koch Industries"
InMobi,1000,Internet Software & Services,India,321,"Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures"
InsideSales.com,1697,Data Analytics,United States of America,264,"Microsoft Ventures, US Venture Partners, Kleiner Perkins Caufield & Byers"
Instacart,7870,On-Demand,United States of America,1896,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund"
Intarcia Therapeutics,3803,Healthcare,United States of America,1289,"New Enterprise Associates, New Leaf Venture Partners, Charter Venture Capital"
Intercom,1275,Internet Software & Services,United States of America,240,"FirstMark Capital, Tiger Global Management"
InVision,1900,Internet Software & Services,United States of America,351,"FirstMark Capital, Tiger Global Management, ICONIQ Capital"
ironSource,1500,Internet Software & Services,Israel,185,"Access Industries, Clal Industries and Investments"
iTutorGroup,1000,Other,China,315,"QiMing Venture Partners, Temasek Holdings, Silverlink Capital"
JetSmarter,2325,Travel Tech,United States of America,155,"Jay-Z, Saudi Royal Family, Jet Edge"
JFrog,1000,Internet Software & Services,United States of America,228,"Gemini Israel Ventures, VMware, Battery Ventures"
Jiuxian,1047,E-commerce,China,249,"Sequoia Capital China, Rich Land Capital, Merrysunny Wealth"
